,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
3--1--0--3,2.0,2.0,6.0,1.0,2.0,7.0,3.0,3.0,20.0,59.0
3--1--1--0,5305.0,214.0,260.0,224.0,232.0,225.0,273.0,247.0,237.0,202.0
3--1--1--1,53.0,52.0,47.0,54.0,41.0,38.0,1077.0,38.0,105.0,66.0
3--1--1--2,246.0,221.0,208.0,217.0,201.0,231.0,227.0,256.0,5288.0,218.0
3--1--1--3,91.0,48.0,57.0,50.0,55.0,73.0,60.0,52.0,55.0,1276.0
3--1--2--0,1542.0,1612.0,1615.0,1618.0,1656.0,30162.0,3967.0,1639.0,1562.0,1619.0
3--1--2--1,202.0,199.0,171.0,212.0,200.0,401.0,182.0,182.0,4700.0,237.0
3--1--2--2,1617.0,1661.0,1763.0,1675.0,1582.0,33232.0,1639.0,1669.0,1671.0,1640.0
3--1--2--3,248.0,217.0,201.0,215.0,232.0,272.0,251.0,250.0,243.0,5427.0
3--1--3--0,187.0,221.0,207.0,238.0,210.0,233.0,228.0,4960.0,230.0,230.0
3--1--3--1,69.0,51.0,71.0,63.0,53.0,35.0,51.0,1192.0,50.0,55.0
3--1--3--2,245.0,219.0,195.0,226.0,281.0,182.0,194.0,4833.0,198.0,229.0
3--1--3--3,388.0,60.0,48.0,57.0,46.0,58.0,45.0,60.0,55.0,768.0
3--2--0--0,90559.0,7626.0,7631.0,7644.0,7677.0,7859.0,7738.0,7745.0,7678.0,7740.0
3--2--0--1,20.0,17.0,14.0,13.0,22.0,15.0,204.0,7.0,14.0,11.0
3--2--0--2,475.0,39.0,24.0,30.0,25.0,22.0,26.0,31.0,21.0,36.0
3--2--0--3,30.0,17.0,15.0,17.0,32.0,18.0,16.0,11.0,302.0,27.0
3--2--1--0,986.0,971.0,913.0,1004.0,966.0,3760.0,18724.0,975.0,979.0,974.0
3--2--1--1,270.0,207.0,212.0,207.0,203.0,4834.0,200.0,223.0,187.0,208.0
3--2--1--2,1015.0,967.0,969.0,958.0,994.0,21052.0,963.0,941.0,979.0,979.0
3--2--1--3,241.0,231.0,250.0,237.0,261.0,805.0,257.0,229.0,230.0,4997.0
3--2--2--0,81745.0,6593.0,6626.0,6706.0,6762.0,6789.0,6689.0,6750.0,6745.0,6796.0
3--2--2--1,890.0,953.0,902.0,862.0,917.0,927.0,904.0,880.0,19437.0,959.0
3--2--2--2,83744.0,6967.0,7021.0,6921.0,6918.0,6869.0,6992.0,6804.0,6881.0,7019.0
