,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0,0,0,0,0.846,0,0,0,0,0.877,,0,0,0,0,1,0,0,0,0,1,,0,0,0,0,0.846,0,0,0,0,0.877
0--0--0--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--0--2,0,-0.89,-0.814,0,0,-1.22,3.089,-1.006,0,0,,0,1,1,0,0,1,4,2,0,0,,0,-0.89,-0.814,0,0,-1.22,12.356,-2.011,0,0
0--0--0--3,0,-1.997,0,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,-1.997,0,0,0,0,0,0,0,0
0--0--1--0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--1--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--1--2,0,0,0,0,-2.129,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,,0,0,0,0,-2.129,0,0,0,0,0
0--0--1--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--2--0,0,0,5.28,0,0,0,0,0,0,-0.722,,0,0,1,0,0,0,0,0,0,1,,0,0,5.28,0,0,0,0,0,0,-0.722
0--0--2--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--2--2,0,0,0,0,0,3.263,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,,0,0,0,0,0,3.263,0,0,0,0
0--0--2--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--3--0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--3--1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--0--3--2,-4.941,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,,-4.941,0,0,0,0,0,0,0,0,0
0--0--3--3,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
0--1--0--0,0.734,3.769,3.802,3.766,3.682,3.746,3.767,0.785,0.849,0.758,,14,105,169,33,15,17,38,12,9,11,,10.28,395.737,642.531,124.291,55.232,63.677,143.143,9.417,7.643,8.334
0--1--0--1,-0.32,2.918,2.47,4.799,3.012,2.037,0,-0.519,0,1.649,,2,3,4,22,4,1,0,2,0,3,,-0.641,8.755,9.879,105.568,12.047,2.037,0,-1.037,0,4.946
0--1--0--2,-1.21,1.82,1.706,5.734,1.844,1.633,5.786,-1.212,2.588,2.829,,21,24,29,46,24,22,575,21,26,24,,-25.407,43.671,49.477,263.76,44.247,35.928,3327.097,-25.45,67.293,67.896
0--1--0--3,-2.514,0.785,0.817,-1.942,0.856,1.107,-3.156,-2.432,0,0,,2,8,4,1,29,1,1,3,0,0,,-5.029,6.281,3.268,-1.942,24.832,1.107,-3.156,-7.296,0,0
0--1--1--0,0,2.748,0,0,2.633,5.799,0,2.771,2.664,-0.395,,0,22,0,0,3,19,0,21,2,1,,0,60.451,0,0,7.899,110.182,0,58.201,5.328,-0.395
0--1--1--1,0,0,4.699,0,1.914,0,7.31,0,0,0,,0,0,3,0,5,0,1,0,0,0,,0,0,14.097,0,9.572,0,7.31,0,0,0
0--1--1--2,-2.108,0.686,3.596,-2.238,0.759,0,-2.064,0.775,0,0,,1,7,6,3,16,0,2,11,0,0,,-2.108,4.803,21.576,-6.715,12.149,0,-4.127,8.521,0,0
0--1--1--3,0,-0.013,2.897,0,0,2.863,0,0,0,0,,0,1,5,0,0,6,0,0,0,0,,0,-0.013,14.487,0,0,17.178,0,0,0,0
0--1--2--0,-1.141,1.778,7.71,7.773,1.905,7.798,7.777,4.708,4.814,-1.249,,4,6,5,30,7,146,65,7,8,9,,-4.564,10.667,38.55,233.179,13.334,1138.492,505.532,32.954,38.515,-11.238
0--1--2--1,-2.641,0,6.47,-2.031,0.758,0,-1.914,0,0,-0.214,,2,0,2,3,27,0,1,0,0,1,,-5.282,0,12.939,-6.092,20.464,0,-1.914,0,0,-0.214
0--1--2--2,-3.555,-0.224,5.738,-3.314,0.04,5.76,-3.407,2.889,-3.201,0.502,,9,9,10,11,4,197,15,8,7,11,,-31.992,-2.016,57.377,-36.454,0.159,1134.677,-51.101,23.113,-22.404,5.526
0--1--2--3,-3.817,-1.405,0,-4.237,-1.342,4.833,-4.724,1.537,-4.208,0,,2,3,0,2,1,30,1,6,1,0,,-7.634,-4.216,0,-8.474,-1.342,144.978,-4.724,9.224,-4.208,0
0--1--3--0,-2.202,0,-2.196,-2.231,0.74,0,-2.233,0,0,-2.254,,1,0,2,1,14,0,1,0,0,4,,-2.202,0,-4.391,-2.231,10.36,0,-2.233,0,0,-9.017
0--1--3--1,0,0,-4.082,-2.913,0,0,-3.22,5.884,0,-1.011,,0,0,1,1,0,0,1,8,0,1,,0,0,-4.082,-2.913,0,0,-3.22,47.069,0,-1.011
0--1--3--2,-4.199,-1.211,-4.613,-4.219,-1.606,0,-4.103,4.729,-4.323,-0.076,,1,4,2,2,2,0,2,27,2,3,,-4.199,-4.843,-9.226,-8.437,-3.211,0,-8.205,127.67,-8.645,-0.228
0--1--3--3,-5.392,0,0,-5.854,0,0,-5.003,3.81,0,0,,1,0,0,1,0,0,1,10,0,0,,-5.392,0,0,-5.854,0,0,-5.003,38.104,0,0
0--2--0--0,0.586,6.711,6.778,6.801,6.765,6.756,6.819,0.619,0.524,0.591,,42,59,96,223,178,72,921,39,57,37,,24.605,395.93,650.688,1516.674,1204.219,486.412,6280.485,24.132,29.864,21.875
0--2--0--1,-0.408,5.858,5.909,7.819,5.981,5.892,7.785,-0.222,1.456,1.462,,5,4,10,121,6,7,10,5,10,16,,-2.038,23.433,59.086,946.096,35.885,41.244,77.849,-1.11,14.563,23.39
0--2--0--2,-1.358,4.785,4.801,-1.386,4.702,4.791,-1.419,-1.401,2.637,2.595,,96,148,2507,120,99,158,102,105,92,119,,-130.379,708.252,12035.226,-166.294,465.528,756.957,-144.729,-147.147,242.635,308.804
0--2--0--3,-2.338,3.686,3.773,-2.462,3.893,3.823,-2.67,-2.467,3.676,3.551,,5,3,45,9,66,9,7,6,11,8,,-11.69,11.057,169.805,-22.162,256.958,34.408,-18.692,-14.802,40.437,28.406
0--2--1--0,-0.251,5.935,8.726,8.789,5.934,8.837,8.8,2.681,2.665,-0.157,,13,11,12,108,7,74,18,7,13,5,,-3.269,65.289,104.707,949.261,41.538,653.943,158.402,18.767,34.649,-0.785
0--2--1--1,-1.32,4.708,7.742,0,4.968,0,-1.335,1.216,3.707,0.389,,1,3,30,0,1,0,3,1,1,2,,-1.32,14.125,232.255,0,4.968,0,-4.004,1.216,3.707,0.778
0--2--1--2,-2.241,3.757,6.831,-2.21,3.612,6.746,-2.341,0.366,4.66,1.311,,6,5,133,4,3,3,4,8,3,4,,-13.447,18.783,908.578,-8.841,10.837,20.237,-9.365,2.928,13.98,5.245
0--2--1--3,0,2.753,5.723,-3.657,2.043,5.557,-3.228,0,-3.011,2.698,,0,19,11,2,1,2,3,0,1,7,,0,52.302,62.949,-7.313,2.043,11.113,-9.684,0,-3.011,18.889
0--2--2--0,-1.47,4.78,-1.394,-1.364,4.691,-1.447,-1.389,4.664,4.553,-1.416,,36,917,45,41,47,35,45,36,41,40,,-52.912,4383.364,-62.749,-55.923,220.461,-50.632,-62.506,167.922,186.681,-56.652
0--2--2--1,-2.522,3.952,-2.147,-2.331,3.677,-2.656,-2.468,3.742,5.627,-0.549,,9,6,3,1,4,4,4,2,126,7,,-22.695,23.713,-6.44,-2.331,14.708,-10.624,-9.871,7.483,709.007,-3.845
0--2--2--2,-3.448,2.791,-3.409,-3.489,2.752,-3.373,-3.448,2.618,-3.403,0.656,,23,846,23,38,37,30,38,36,39,41,,-79.305,2361.315,-78.41,-132.576,101.814,-101.195,-131.013,94.236,-132.722,26.9
0--2--2--3,-4.615,1.867,-4.267,-4.693,1.782,-4.417,-4.506,1.651,-4.521,1.65,,3,146,6,7,8,11,9,6,2,3,,-13.844,272.549,-25.6,-32.85,14.257,-48.586,-40.553,9.905,-9.043,4.951
