,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5,,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--1--2--3,0.559,0,10.227,0,0,9.388,0,7.764,0,0,,1,0,24,0,0,4,0,2,0,0,,0.56,0.00,245.45,0.00,0.00,37.55,0.00,15.53,0.00,0.00
0--1--3--0,0,0,0,2.953,0,0,0.382,0,0,3.745,,0,0,0,1,0,0,2,0,0,8,,0.00,0.00,0.00,2.95,0.00,0.00,0.76,0.00,0.00,29.96
0--1--3--1,0,7.061,4.377,-1.983,0,3.679,5.379,0,0,0,,0,5,1,1,0,1,1,0,0,0,,0.00,35.31,4.38,-1.98,0.00,3.68,5.38,0.00,0.00,0.00
0--1--3--2,1.369,0,-1.191,-2.538,4.829,0,0,6.107,0.991,5.777,,6,0,2,1,3,0,0,1,1,14,,8.21,0.00,-2.38,-2.54,14.49,0.00,0.00,6.11,0.99,80.88
0--1--3--3,0,0,0.533,0,0,0,0,0,0,0,,0,0,7,0,0,0,0,0,0,0,,0.00,0.00,3.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0--2--0--0,5.949,12.571,12.416,12.458,12.372,12.129,12.527,5.288,5.112,5.073,,27,40,46,346,74,31,373,44,27,27,,160.62,502.84,571.14,4310.47,915.53,376.00,4672.57,232.67,138.02,136.97
0--2--0--1,4.825,13.177,11.462,11.38,10.566,11.286,13.348,2.358,8.314,5.845,,3,3,8,4,5,7,79,3,2,6,,14.48,39.53,91.70,45.52,52.83,79.00,1054.49,7.07,16.63,35.07
0--2--0--2,3.655,10.101,10.117,3.751,10.445,10.312,3.323,3.127,7.426,7.381,,75,78,61,71,1023,678,64,73,71,87,,274.13,787.88,617.14,266.32,10685.24,6991.54,212.67,228.27,527.25,642.15
0--2--0--3,3.89,9.74,9.836,1.114,9.66,10.373,3.007,0.563,8.485,9.812,,2,47,3,3,2,35,2,4,4,4,,7.78,457.78,29.51,3.34,19.32,363.06,6.01,2.25,33.94,39.25
0--2--1--0,4.906,12.644,14.557,14.118,11.936,11,14.405,7.349,6.62,1.455,,7,4,108,12,7,2,10,8,5,6,,34.34,50.58,1572.16,169.42,83.55,22.00,144.05,58.79,33.10,8.73
0--2--1--1,4.641,11.921,13.698,5.916,0,13.79,7.032,0,8.456,5.366,,1,2,8,1,0,1,1,0,7,1,,4.64,23.84,109.58,5.92,0.00,13.79,7.03,0.00,59.19,5.37
0--2--1--2,1.892,8.239,12.79,2.377,9.389,13.393,4.366,7.376,10.975,6.696,,5,3,65,1,6,8,2,3,4,5,,9.46,24.72,831.35,2.38,56.33,107.14,8.73,22.13,43.90,33.48
0--2--1--3,-0.829,0,10.869,0,8.7,0,2.257,0,0,8.909,,1,0,4,0,3,0,1,0,0,19,,-0.83,0.00,43.48,0.00,26.10,0.00,2.26,0.00,0.00,169.27
0--2--2--0,2.974,10.376,2.644,3.58,10.229,2.017,2.079,9.292,9.363,3.648,,23,510,23,22,33,16,27,23,23,24,,68.40,5291.76,60.81,78.76,337.56,32.27,56.13,213.72,215.35,87.55
0--2--2--1,3.742,8.982,4.219,3.28,7.656,3.475,3.415,8.952,10.556,4.911,,1,5,5,6,5,3,2,6,64,4,,3.74,44.91,21.10,19.68,38.28,10.43,6.83,53.71,675.58,19.64
0--2--2--2,1.01,7.919,2.213,0.76,8.218,1.922,1.21,7.577,0.05,5.115,,29,68,22,23,376,19,20,16,14,14,,29.29,538.49,48.69,17.48,3089.97,36.52,24.20,121.23,0.70,71.61
0--2--2--3,-3.127,6.108,1.997,1.96,7.484,1.438,2.763,6.419,1.847,6.5,,1,6,1,3,50,1,3,16,5,41,,-3.13,36.65,2.00,5.88,374.20,1.44,8.29,102.70,9.24,266.50
0--2--3--0,2.381,9.668,4.005,0,0,1.957,-1.005,11.086,11.327,0.905,,3,1,1,0,0,6,1,3,38,1,,7.14,9.67,4.01,0.00,0.00,11.74,-1.01,33.26,430.43,0.91
0--2--3--1,1.669,0,3.295,0,6.37,0,0.209,9.624,1.374,0,,1,0,2,0,4,0,10,4,1,0,,1.67,0.00,6.59,0.00,25.48,0.00,2.09,38.50,1.37,0.00
0--2--3--2,1.042,6.124,-0.459,1.218,8.927,2.067,1.248,9.523,-2.053,5.231,,4,11,4,6,3,6,4,75,4,13,,4.17,67.36,-1.84,7.31,26.78,12.40,4.99,714.23,-8.21,68.00
0--2--3--3,0,0,0,-0.872,4.666,0.408,0,0,0,5.356,,0,0,0,3,5,1,0,0,0,19,,0.00,0.00,0.00,-2.62,23.33,0.41,0.00,0.00,0.00,101.76
0--3--0--0,4.596,15.412,15.905,15.821,13.701,15.875,15.114,4.345,3.301,4.737,,7,18,25,21,4,102,14,8,2,6,,32.17,277.42,397.63,332.24,54.80,1619.25,211.60,34.76,6.60,28.42
0--3--0--1,0,0,15.688,4.433,0,0,0,4.301,8.094,0,,0,0,11,1,0,0,0,1,1,0,,0.00,0.00,172.57,4.43,0.00,0.00,0.00,4.30,8.09,0.00
0--3--0--2,3.311,13.407,12.662,3.476,13.373,13.322,2.187,3.18,7.921,5.913,,15,293,20,14,45,36,16,21,11,22,,49.67,3928.25,253.24,48.66,601.79,479.59,34.99,66.78,87.13,130.09
