,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,7.0,0.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,47.0,56.0,61.0,598.0,237.0,40.0,165.0,38.0,45.0,36.0
0--1--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0--1--0--2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--1--0,3.0,0.0,4.0,0.0,0.0,4.0,2.0,2.0,43.0,1.0
0--1--1--1,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
