,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
2--3--0--3,533.0,552.0,540.0,488.0,11829.0,807.0,546.0,489.0,565.0,499.0
2--3--1--0,902.0,907.0,929.0,882.0,19792.0,877.0,872.0,905.0,882.0,912.0
2--3--1--1,134.0,120.0,126.0,123.0,3007.0,136.0,92.0,164.0,116.0,124.0
2--3--1--2,706.0,522.0,525.0,546.0,11709.0,549.0,524.0,520.0,533.0,526.0
2--3--1--3,171.0,142.0,164.0,161.0,3701.0,148.0,146.0,145.0,146.0,149.0
2--3--2--0,3722.0,3648.0,3795.0,3770.0,62006.0,3644.0,3722.0,3760.0,3754.0,3619.0
2--3--2--1,433.0,465.0,440.0,460.0,10218.0,455.0,451.0,408.0,423.0,415.0
2--3--2--2,3280.0,3198.0,3207.0,3250.0,56434.0,3387.0,3207.0,3294.0,3281.0,3240.0
2--3--2--3,622.0,645.0,613.0,618.0,14062.0,611.0,573.0,616.0,592.0,579.0
2--3--3--0,247.0,258.0,249.0,273.0,6353.0,290.0,260.0,279.0,268.0,251.0
2--3--3--1,126.0,150.0,138.0,136.0,3168.0,132.0,123.0,162.0,144.0,117.0
2--3--3--2,604.0,616.0,575.0,635.0,13679.0,583.0,597.0,616.0,594.0,577.0
2--3--3--3,133.0,123.0,140.0,138.0,3079.0,139.0,113.0,211.0,144.0,145.0
3--0--0--0,12.0,222.0,10.0,27.0,9.0,10.0,10.0,14.0,11.0,14.0
3--0--0--1,23.0,0.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,10.0
3--0--0--2,125.0,23.0,400.0,18.0,29.0,27.0,15.0,19.0,29.0,30.0
3--0--0--3,0.0,20.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,1.0
3--0--1--0,1.0,2.0,3.0,0.0,1.0,0.0,12.0,0.0,29.0,0.0
3--0--1--1,8.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
3--0--1--2,0.0,8.0,0.0,0.0,5.0,13.0,0.0,3.0,1.0,3.0
3--0--1--3,7.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,0.0
3--0--2--0,163.0,6.0,5.0,7.0,7.0,18.0,7.0,3.0,5.0,2.0
3--0--2--1,3.0,2.0,0.0,2.0,0.0,2.0,1.0,18.0,0.0,0.0
3--0--2--2,147.0,12.0,4.0,10.0,4.0,11.0,3.0,11.0,9.0,9.0
3--0--2--3,30.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0
3--0--3--0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,7.0,0.0
3--0--3--1,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3--0--3--2,0.0,7.0,2.0,1.0,1.0,16.0,0.0,3.0,4.0,0.0
3--0--3--3,0.0,4.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
3--1--0--0,26111.0,1270.0,1209.0,1246.0,1234.0,1179.0,1193.0,1263.0,1281.0,1237.0
3--1--0--1,3449.0,141.0,137.0,136.0,146.0,127.0,189.0,146.0,133.0,148.0
3--1--0--2,47585.0,2578.0,2645.0,2560.0,2617.0,2580.0,2622.0,2645.0,2576.0,2595.0
3--1--0--3,2987.0,124.0,115.0,143.0,134.0,142.0,126.0,149.0,105.0,109.0
3--1--1--0,4988.0,196.0,183.0,190.0,211.0,197.0,195.0,188.0,230.0,198.0
3--1--1--1,655.0,29.0,29.0,22.0,17.0,47.0,93.0,38.0,32.0,28.0
3--1--1--2,2870.0,136.0,108.0,129.0,115.0,125.0,120.0,133.0,151.0,122.0
3--1--1--3,813.0,32.0,33.0,40.0,35.0,65.0,34.0,43.0,45.0,28.0
3--1--2--0,18986.0,898.0,851.0,894.0,874.0,936.0,822.0,811.0,871.0,823.0
3--1--2--1,2465.0,108.0,116.0,112.0,99.0,141.0,99.0,101.0,116.0,94.0
3--1--2--2,17096.0,777.0,763.0,754.0,758.0,794.0,747.0,736.0,734.0,742.0
3--1--2--3,3250.0,152.0,145.0,174.0,140.0,187.0,134.0,131.0,142.0,158.0
3--1--3--0,1502.0,55.0,70.0,56.0,57.0,73.0,61.0,57.0,61.0,63.0
3--1--3--1,681.0,27.0,34.0,26.0,38.0,35.0,30.0,100.0,33.0,35.0
3--1--3--2,3277.0,140.0,163.0,135.0,147.0,151.0,150.0,151.0,146.0,137.0
3--1--3--3,743.0,42.0,31.0,34.0,30.0,28.0,21.0,37.0,27.0,27.0
3--2--0--0,73339.0,5345.0,5254.0,5163.0,5158.0,5199.0,5183.0,5173.0,5310.0,5233.0
3--2--0--1,13579.0,613.0,621.0,612.0,603.0,594.0,610.0,595.0,621.0,603.0
3--2--0--2,99392.0,10754.0,10652.0,10632.0,10659.0,10730.0,10848.0,10785.0,10858.0,10591.0
3--2--0--3,12052.0,563.0,521.0,518.0,534.0,553.0,556.0,523.0,577.0,504.0
3--2--1--0,19512.0,883.0,891.0,912.0,888.0,864.0,894.0,901.0,903.0,854.0
3--2--1--1,3046.0,120.0,129.0,129.0,109.0,123.0,99.0,131.0,120.0,124.0
3--2--1--2,11934.0,544.0,536.0,503.0,467.0,526.0,512.0,529.0,498.0,485.0
3--2--1--3,3557.0,143.0,177.0,171.0,143.0,158.0,158.0,140.0,131.0,165.0
3--2--2--0,60525.0,3680.0,3658.0,3745.0,3643.0,3587.0,3628.0,3650.0,3651.0,3593.0
3--2--2--1,10225.0,503.0,447.0,454.0,411.0,452.0,473.0,431.0,434.0,471.0
3--2--2--2,56134.0,3284.0,3302.0,3204.0,3236.0,3309.0,3296.0,3272.0,3296.0,3270.0
3--2--2--3,14213.0,610.0,602.0,592.0,641.0,576.0,599.0,612.0,619.0,665.0
3--2--3--0,6449.0,264.0,248.0,276.0,290.0,263.0,238.0,269.0,259.0,287.0
