,0--2,0--3,0--4,0--5,1--3,1--4,1--5,2--4,2--5,3--5
0--0--0--0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,9.0,0.0
0--0--0--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--1--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--2--2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0--0--2--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--0--3--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--0,45.0,39.0,276.0,113.0,58.0,42.0,810.0,59.0,48.0,36.0
0--1--0--1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0--1--0--3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0--1--1--0,3.0,1.0,15.0,3.0,3.0,25.0,11.0,0.0,0.0,0.0
0--1--1--1,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0
0--1--1--2,1.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,16.0,0.0
0--1--1--3,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1.0,0.0
0--1--2--0,4.0,3.0,32.0,37.0,6.0,3.0,11.0,14.0,3.0,4.0
0--1--2--1,0.0,2.0,8.0,11.0,5.0,0.0,1.0,0.0,3.0,0.0
0--1--2--2,5.0,9.0,29.0,8.0,13.0,122.0,8.0,10.0,5.0,8.0
0--1--2--3,2.0,0.0,0.0,1.0,1.0,31.0,3.0,0.0,1.0,4.0
0--1--3--0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,14.0,0.0
0--1--3--1,6.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0--1--3--2,2.0,7.0,1.0,2.0,1.0,1.0,4.0,23.0,2.0,2.0
0--1--3--3,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,11.0
